epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.782,1.68418,4.44575,1.49129,0.38141,0.46678,0.34686,0.17113,1.58003,4.13379,1.3466,0.00053344,0.00053344,0.00053344
2,48.1302,1.54342,1.74158,1.36877,0.00238,0.22032,0.00154,0.00078,2.50625,inf,28.1846,0.000976279,0.000976279,0.000976279
3,73.7504,1.46808,1.51521,1.32112,0.00201,0.05172,0.00096,0.00037,3.56319,81.4232,5.36799,0.0013102,0.0013102,0.0013102
4,99.5661,1.47648,1.3835,1.31431,0.30793,0.54835,0.42143,0.21793,1.67321,2.7108,1.59102,0.0011719,0.0011719,0.0011719
5,129.743,1.4503,1.3128,1.30424,0.39205,0.70505,0.64256,0.36081,1.49275,3.3261,1.42825,0.00100687,0.00100687,0.00100687
6,159.115,1.41783,1.24366,1.29682,0.48665,0.69727,0.68119,0.36884,1.44604,1.36476,1.34508,0.000841835,0.000841835,0.000841835
7,188.774,1.35598,1.08928,1.2369,0.65114,0.78523,0.78301,0.46191,1.32955,1.06046,1.2284,0.000676802,0.000676802,0.000676802
8,218.284,1.30543,0.98031,1.21939,0.74958,0.82007,0.81591,0.48902,1.33225,0.89939,1.24255,0.000511769,0.000511769,0.000511769
9,248.913,1.30759,0.93672,1.23032,0.71702,0.85556,0.8054,0.49804,1.33396,0.9185,1.25612,0.000346736,0.000346736,0.000346736
10,280.001,1.27527,0.89231,1.1923,0.75345,0.82898,0.8033,0.5039,1.27215,0.86772,1.2096,0.000181703,0.000181703,0.000181703
